Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2002-2003,19,West Brom,0.763157895,1.710526316,0.68
2002-2003,20,Sunderland,0.552631579,1.710526316,0.5
2001-2002,1,Arsenal,2.078947368,0.947368421,2.29
2001-2002,2,Liverpool,1.763157895,0.789473684,2.11
2001-2002,3,Man United,2.289473684,1.184210526,2.03
2001-2002,4,Newcastle,1.947368421,1.368421053,1.87
2001-2002,5,Leeds,1.394736842,0.973684211,1.74
2001-2002,6,Chelsea,1.736842105,1,1.68
2001-2002,7,West Ham,1.263157895,1.5,1.39
2001-2002,8,Aston Villa,1.210526316,1.236842105,1.32
2001-2002,9,Tottenham,1.289473684,1.394736842,1.32
2001-2002,10,Blackburn,1.447368421,1.342105263,1.21
2001-2002,11,Southampton,1.210526316,1.421052632,1.18
2001-2002,12,Middlesbrough,0.921052632,1.236842105,1.18
2001-2002,13,Fulham,0.947368421,1.157894737,1.16
2001-2002,14,Charlton,1,1.289473684,1.16
2001-2002,15,Everton,1.184210526,1.5,1.13
2001-2002,16,Bolton,1.157894737,1.631578947,1.05
2001-2002,17,Sunderland,0.763157895,1.342105263,1.05
2001-2002,18,Ipswich,1.078947368,1.684210526,0.95
2001-2002,19,Derby,0.868421053,1.657894737,0.79
2001-2002,20,Leicester,0.789473684,1.684210526,0.74
2000-2001,1,Man United,2.078947368,0.815789474,2.11
2000-2001,2,Arsenal,1.657894737,1,1.84
2000-2001,3,Liverpool,1.868421053,1.026315789,1.82
2000-2001,4,Leeds,1.684210526,1.131578947,1.79
2000-2001,5,Ipswich,1.5,1.105263158,1.74
2000-2001,6,Chelsea,1.789473684,1.184210526,1.61
2000-2001,7,Sunderland,1.210526316,1.078947368,1.5
2000-2001,8,Aston Villa,1.210526316,1.131578947,1.42
2000-2001,9,Charlton,1.315789474,1.5,1.37
2000-2001,10,Southampton,1.052631579,1.263157895,1.37
2000-2001,11,Newcastle,1.157894737,1.315789474,1.34
2000-2001,12,Tottenham,1.236842105,1.421052632,1.29
2000-2001,13,Leicester,1.026315789,1.342105263,1.26
2000-2001,14,Middlesbrough,1.157894737,1.157894737,1.11
2000-2001,15,West Ham,1.184210526,1.315789474,1.11
2000-2001,16,Everton,1.184210526,1.552631579,1.11
2000-2001,17,Derby,0.973684211,1.552631579,1.11
